Name,Height,Height_in_inches
Jack Hill,"6'3""",75.0
Brendan McDevitt,"6'0""",72.0
Tyler Moore,"6'2""",74.0
Joe Swede,"6'3""",75.0
Josh Yee,"6'0""",72.0
Ian Ziomek,"5'9""",69.0
David Butler,"5'9""",69.0
Ross Caimano,"5'10""",70.0
Ethan Cairo,"5'9""",69.0
Joseph  Campise,"6'1""",73.0
Andrew Capella,"5'9""",69.0
Matt Cleveland,"5'8""",68.0
Eli Cohen,"6'1""",73.0
Mason DeLisio,"5'11""",71.0
Anthony Genovese,"6'0""",72.0
Brendan Heaney,"5'11""",71.0
James  Llewellyn,"5'6""",66.0
Cosmo Martinelli,"6'2""",74.0
Logan Oathout,"6'0""",72.0
Lukas Oathout,"6'1""",73.0
Daniel Oh,"5'8""",68.0
Colin Ringwood,"5'9""",69.0
David Scott,"5'10""",70.0
Jonathan  Stanzione,"6'0""",72.0
Gavin Weseman,"6'3""",75.0
Benjamin Beldner,"6'1""",73.0
Brandon Berger,"6'1""",73.0
Ryan Board,"5'11""",71.0
Keegan Chatham,"5'10""",70.0
Zachary Ciriaco,"5'6""",66.0
Ryan Cohn,"5'10""",70.0
Nathan DeGuzman,"5'9""",69.0
Christopher Egan,"5'6""",66.0
Christopher Ghim,"6'0""",72.0
Brian Harding,"6'4""",76.0
Jackson Homan,"6'0""",72.0
Sandon Karinsky,"5'10""",70.0
George Kipshidze,"6'1""",73.0
Eric Kroon,"6'5""",77.0
Elijah Lanfear,"6'2""",74.0
Xiaoyu Lin,"6'1""",73.0
Ryan Maierle,"6'3""",75.0
William Maurer,"5'10""",70.0
Justin Meyn,"6'2""",74.0
Liam Murphy,"6'1""",73.0
Oisin O'Sullivan,"5'11""",71.0
Matthew Palguta,"6'2""",74.0
Travis Phillips,"6'1""",73.0
Robert Reining,"6'2""",74.0
Henry Shemet,"6'3""",75.0
Jake  Vecchio,"5'8""",68.0
Matthew Czubachowski,"6'0""",72.0
Nicholas Dolan,"6'1""",73.0
Caleb Ferns,"6'0""",72.0
Nicholas Griffith,"6'4""",76.0
Joseph Guiliano,"6'0""",72.0
Kieran Hassard,"6'0""",72.0
Anthony Laite,"5'9""",69.0
Drew MacDonald,"6'0""",72.0
Kyle Morken,"6'1""",73.0
Peter Vanderwerf,"6'3""",75.0
